NAME	CPU %	MEM USAGE / LIMIT	MEM %	TIME

TBbwa
--------------------
mtbseq_container	115.59%	1.375GiB / 125.4GiB	1.10%	2025-06-12 22:33:47
mtbseq_container	1958.33%	1.242GiB / 125.4GiB	0.99%	2025-06-12 22:33:53
mtbseq_container	1889.95%	1.468GiB / 125.4GiB	1.17%	2025-06-12 22:34:00
mtbseq_container	1293.01%	1.485GiB / 125.4GiB	1.18%	2025-06-12 22:34:06
mtbseq_container	102.38%	1.434GiB / 125.4GiB	1.14%	2025-06-12 22:34:13
mtbseq_container	866.00%	1.253GiB / 125.4GiB	1.00%	2025-06-12 22:34:19
mtbseq_container	908.52%	1.453GiB / 125.4GiB	1.16%	2025-06-12 22:34:26
mtbseq_container	868.22%	1.486GiB / 125.4GiB	1.19%	2025-06-12 22:34:33
mtbseq_container	896.64%	1.516GiB / 125.4GiB	1.21%	2025-06-12 22:34:39
mtbseq_container	837.59%	1.498GiB / 125.4GiB	1.19%	2025-06-12 22:34:46
mtbseq_container	866.01%	1.552GiB / 125.4GiB	1.24%	2025-06-12 22:34:52
mtbseq_container	837.65%	1.569GiB / 125.4GiB	1.25%	2025-06-12 22:34:59
mtbseq_container	1121.24%	1.597GiB / 125.4GiB	1.27%	2025-06-12 22:35:05
mtbseq_container	988.73%	1.609GiB / 125.4GiB	1.28%	2025-06-12 22:35:12
mtbseq_container	839.02%	1.607GiB / 125.4GiB	1.28%	2025-06-12 22:35:19
mtbseq_container	1725.80%	840.5MiB / 125.4GiB	0.65%	2025-06-12 22:35:25
mtbseq_container	149.39%	1.028GiB / 125.4GiB	0.82%	2025-06-12 22:35:32
mtbseq_container	103.86%	1.184GiB / 125.4GiB	0.94%	2025-06-12 22:35:38
mtbseq_container	831.38%	1.284GiB / 125.4GiB	1.02%	2025-06-12 22:35:45
mtbseq_container	99.89%	1.283GiB / 125.4GiB	1.02%	2025-06-12 22:35:51
mtbseq_container	100.46%	1.337GiB / 125.4GiB	1.07%	2025-06-12 22:35:58
mtbseq_container	99.97%	1.342GiB / 125.4GiB	1.07%	2025-06-12 22:36:05
mtbseq_container	100.41%	1.359GiB / 125.4GiB	1.08%	2025-06-12 22:36:11
mtbseq_container	101.36%	1.357GiB / 125.4GiB	1.08%	2025-06-12 22:36:18
mtbseq_container	108.51%	1.359GiB / 125.4GiB	1.08%	2025-06-12 22:36:24
mtbseq_container	109.94%	1.362GiB / 125.4GiB	1.09%	2025-06-12 22:36:31
mtbseq_container	101.13%	1.382GiB / 125.4GiB	1.10%	2025-06-12 22:36:37
mtbseq_container	99.91%	1.383GiB / 125.4GiB	1.10%	2025-06-12 22:36:44
mtbseq_container	148.97%	1.403GiB / 125.4GiB	1.12%	2025-06-12 22:36:51
mtbseq_container	99.96%	1.403GiB / 125.4GiB	1.12%	2025-06-12 22:36:57
mtbseq_container	100.47%	1.404GiB / 125.4GiB	1.12%	2025-06-12 22:37:04
mtbseq_container	103.17%	1.404GiB / 125.4GiB	1.12%	2025-06-12 22:37:10
mtbseq_container	348.07%	1.405GiB / 125.4GiB	1.12%	2025-06-12 22:37:17
mtbseq_container	520.27%	1.405GiB / 125.4GiB	1.12%	2025-06-12 22:37:23
mtbseq_container	99.88%	1.406GiB / 125.4GiB	1.12%	2025-06-12 22:37:30
mtbseq_container	102.17%	1.406GiB / 125.4GiB	1.12%	2025-06-12 22:37:37
mtbseq_container	100.29%	1.406GiB / 125.4GiB	1.12%	2025-06-12 22:37:43
mtbseq_container	209.33%	1.407GiB / 125.4GiB	1.12%	2025-06-12 22:37:50
mtbseq_container	100.34%	1.407GiB / 125.4GiB	1.12%	2025-06-12 22:37:56
mtbseq_container	445.72%	694.4MiB / 125.4GiB	0.54%	2025-06-12 22:38:03
mtbseq_container	1362.95%	1.439GiB / 125.4GiB	1.15%	2025-06-12 22:38:09
mtbseq_container	2079.48%	1.46GiB / 125.4GiB	1.16%	2025-06-12 22:38:16
mtbseq_container	1512.07%	1.453GiB / 125.4GiB	1.16%	2025-06-12 22:38:22
mtbseq_container	1665.66%	1.476GiB / 125.4GiB	1.18%	2025-06-12 22:38:29
mtbseq_container	1463.50%	1.465GiB / 125.4GiB	1.17%	2025-06-12 22:38:36
mtbseq_container	151.06%	288.1MiB / 125.4GiB	0.22%	2025-06-12 22:38:42
mtbseq_container	905.43%	1.279GiB / 125.4GiB	1.02%	2025-06-12 22:38:49
mtbseq_container	845.78%	1.467GiB / 125.4GiB	1.17%	2025-06-12 22:38:55
mtbseq_container	935.58%	1.496GiB / 125.4GiB	1.19%	2025-06-12 22:39:02
